NumOfTips,LikCalculations,Time,isInfLik
0250,5000,0128.057,0
0250,5000,0122.098,0
0250,5000,0157.998,0
0250,5000,0166.945,0
0250,5000,0175.981,0
0250,5000,0159.818,0
0250,5000,0175.056,0
0250,5000,0120.884,0
0250,5000,0154.604,0
0250,5000,0159.283,0
0250,5000,0147.008,0
0250,5000,0099.188,0
0250,5000,0189.476,0
0250,5000,0149.930,0
0250,5000,0188.754,1
0250,5000,0144.382,1
0250,5000,0163.451,0
0250,5000,0162.946,0
0250,5000,0111.989,0
0250,5000,0183.912,1
0250,5000,0140.905,0
0250,5000,0141.118,0
0250,5000,0177.714,0
0250,5000,0211.751,1
0250,5000,0213.526,1
0250,5000,0174.404,0
0250,5000,0168.176,0
0250,5000,0186.383,1
0250,5000,0182.660,0
0250,5000,0123.203,0
0250,5000,0145.179,0
0250,5000,0154.761,0
0250,5000,0170.541,0
0300,5000,0153.712,0
0300,5000,0159.407,1
0300,5000,0180.600,0
0300,5000,0157.752,0
0300,5000,0140.131,0
0300,5000,0156.302,1
0300,5000,0139.591,0
0300,5000,0251.064,1
0300,5000,0203.498,1
0300,5000,0193.594,1
0300,5000,0152.569,0
0300,5000,0201.888,0
0300,5000,0216.850,0
0300,5000,0153.247,0
0300,5000,0193.132,0
0300,5000,0200.938,0
0300,5000,0213.427,0
0300,5000,0290.501,1
0300,5000,0184.042,0
0300,5000,0154.734,0
0300,5000,0127.951,0
0300,5000,0136.217,0
0300,5000,0142.013,0
0300,5000,0170.255,1
0300,5000,0151.829,0
0300,5000,0161.820,1
0300,5000,0178.475,0
0300,5000,0191.367,0
0300,5000,0143.127,0
0300,5000,0148.621,1
0300,5000,0182.580,0
0300,5000,0186.782,0
0300,5000,0176.638,0
0300,5000,0187.276,0
0300,5000,0186.444,1
0300,5000,0196.853,0
0300,5000,0145.192,0
0300,5000,0132.322,0
0300,5000,0208.667,0
0300,5000,0204.135,0
0300,5000,0196.783,0
0300,5000,0187.863,1
0300,5000,0194.428,0
0300,5000,0188.668,0
0300,5000,0276.964,1
0300,5000,0173.115,1
0300,5000,0150.776,0
0300,5000,0245.993,0
