NumOfTips,LikCalculations,Time,isInfLik
0150,5000,0123.846,0
0150,5000,0095.980,0
0150,5000,0096.649,0
0150,5000,0091.510,0
0150,5000,0092.495,0
0150,5000,0069.696,0
0150,5000,0102.402,0
0150,5000,0057.016,0
0150,5000,0148.156,0
0150,5000,0084.870,0
0150,5000,0095.852,0
0150,5000,0087.741,0
0150,5000,0094.510,0
0150,5000,0075.445,0
0150,5000,0096.850,0
0150,5000,0078.632,0
0150,5000,0093.296,0
0150,5000,0093.228,0
0150,5000,0078.566,0
0150,5000,0068.903,0
0150,5000,0103.274,0
0150,5000,0089.705,0
0150,5000,0077.590,0
0150,5000,0061.336,0
0150,5000,0082.403,0
0200,5000,0117.893,0
0200,5000,0120.175,0
0200,5000,0133.048,0
0200,5000,0080.519,0
0200,5000,0088.979,0
0200,5000,0081.432,0
0200,5000,0095.306,0
0200,5000,0132.969,0
0200,5000,0101.190,0
0200,5000,0123.376,0
0200,5000,0113.211,0
0200,5000,0102.445,0
0200,5000,0108.365,0
0200,5000,0101.343,0
0200,5000,0125.172,0
0200,5000,0090.561,0
0200,5000,0129.315,0
0200,5000,0074.608,0
0200,5000,0104.260,0
0200,5000,0107.849,0
0200,5000,0079.356,0
0200,5000,0081.099,0
0200,5000,0088.485,0
0200,5000,0097.448,0
0200,5000,0102.380,0
0200,5000,0085.332,0
0200,5000,0106.237,0
0200,5000,0104.941,0
0200,5000,0144.063,0
0200,5000,0116.959,0
0200,5000,0162.798,0
0200,5000,0119.649,0
0200,5000,0094.501,0
0200,5000,0075.935,0
0200,5000,0104.120,0
0200,5000,0124.861,0
0200,5000,0087.930,0
0200,5000,0116.079,0
0200,5000,0120.159,0
0200,5000,0095.378,0
0200,5000,0138.124,0
0200,5000,0188.623,0
0200,5000,0095.984,0
0200,5000,0131.681,0
0200,5000,0113.303,0
0200,5000,0124.930,0
0200,5000,0071.014,0
0200,5000,0149.286,0
0200,5000,0121.533,0
0200,5000,0108.487,0
0250,5000,0121.660,0
0250,5000,0138.278,0
0250,5000,0133.900,0
0250,5000,0144.032,0
0250,5000,0080.538,0
0250,5000,0143.521,0
0250,5000,0126.305,0
0250,5000,0147.487,0
0250,5000,0161.527,0
0250,5000,0182.822,1
0250,5000,0137.643,0
0250,5000,0112.934,0
0250,5000,0188.195,1
0250,5000,0163.177,0
0250,5000,0112.985,0
0250,5000,0144.980,0
0250,5000,0120.279,0
0250,5000,0157.905,0
0250,5000,0118.725,0
0250,5000,0143.720,0
0250,5000,0136.852,0
0250,5000,0178.773,0
0250,5000,0168.476,1
0250,5000,0111.952,0
0250,5000,0153.642,0
0250,5000,0148.292,0
0250,5000,0164.991,0
0250,5000,0137.576,0
0250,5000,0184.951,0
0250,5000,0131.119,0
0250,5000,0122.054,0
0250,5000,0095.693,0
0250,5000,0142.464,0
0250,5000,0195.397,1
0250,5000,0142.552,0
0250,5000,0152.833,1
0250,5000,0134.235,0
0250,5000,0069.770,1
0250,5000,0092.402,0
