NumOfTips,LikCalculations,Time,isInfLik
0100,5000,0008.004,0
0100,5000,0008.146,0
0100,5000,0007.339,0
0100,5000,0007.531,0
0100,5000,0008.183,0
0100,5000,0007.697,0
0100,5000,0007.118,0
0100,5000,0007.392,0
0100,5000,0008.093,0
0100,5000,0007.707,0
0100,5000,0006.906,0
0100,5000,0008.095,0
0100,5000,0007.763,0
0100,5000,0007.401,0
0100,5000,0007.707,0
0100,5000,0007.887,0
0100,5000,0007.455,0
0100,5000,0008.224,0
0100,5000,0007.824,0
0100,5000,0008.186,0
0100,5000,0009.350,0
0100,5000,0007.701,0
0100,5000,0008.538,0
0150,5000,0010.623,0
0150,5000,0010.028,0
0150,5000,0010.689,0
0150,5000,0011.125,0
0150,5000,0010.275,0
0150,5000,0010.649,0
0150,5000,0011.373,0
0150,5000,0011.783,0
0150,5000,0011.058,0
0150,5000,0010.989,0
0150,5000,0011.048,0
0150,5000,0012.692,0
0150,5000,0010.482,0
0150,5000,0011.493,0
0150,5000,0011.680,0
0150,5000,0011.609,0
0150,5000,0012.481,0
0150,5000,0010.917,0
0150,5000,0011.964,0
0150,5000,0011.009,0
0150,5000,0011.132,0
0150,5000,0010.279,0
0150,5000,0012.102,0
0150,5000,0011.722,0
0150,5000,0011.564,0
0150,5000,0012.632,0
0150,5000,0012.405,0
0150,5000,0011.560,0
0150,5000,0012.666,0
0150,5000,0012.289,0
0200,5000,0014.853,0
0200,5000,0014.197,0
0200,5000,0017.694,0
0200,5000,0015.816,0
0200,5000,0014.974,0
0200,5000,0016.877,0
0200,5000,0014.703,0
0200,5000,0014.620,0
0200,5000,0016.798,0
0200,5000,0016.572,0
0200,5000,0015.490,0
0200,5000,0014.653,0
0200,5000,0015.236,0
0200,5000,0014.440,0
0200,5000,0015.882,0
0200,5000,0015.845,0
0200,5000,0014.529,0
0200,5000,0015.034,0
0200,5000,0014.918,0
0200,5000,0014.945,0
0200,5000,0014.919,0
0200,5000,0014.141,0
0200,5000,0014.821,0
0200,5000,0014.868,0
0200,5000,0014.511,0
0200,5000,0015.214,0
0200,5000,0016.401,0
0200,5000,0015.270,0
0200,5000,0014.852,0
0200,5000,0014.702,0
0250,5000,0016.909,0
0250,5000,0017.355,0
0250,5000,0018.532,0
0250,5000,0019.154,0
0250,5000,0018.431,0
0250,5000,0020.152,0
0250,5000,0019.860,0
0250,5000,0018.696,0
0250,5000,0019.746,0
0250,5000,0017.541,0
0250,5000,0018.625,0
0250,5000,0020.488,0
0250,5000,0018.753,0
0250,5000,0017.914,0
0250,5000,0017.866,0
0250,5000,0017.051,0
0250,5000,0020.924,0
0250,5000,0019.499,0
0250,5000,0019.735,0
0250,5000,0018.942,0
0250,5000,0018.894,0
0250,5000,0017.827,0
0250,5000,0018.994,0
0250,5000,0018.660,0
0250,5000,0019.679,0
0250,5000,0017.644,0
0250,5000,0018.994,0
0250,5000,0018.676,0
0250,5000,0019.145,0
0250,5000,0018.851,0
0300,5000,0026.518,0
0300,5000,0022.659,0
0300,5000,0021.399,0
0300,5000,0022.164,0
0300,5000,0020.509,0
0300,5000,0021.214,0
0300,5000,0023.065,0
0300,5000,0022.472,0
0300,5000,0020.246,0
0300,5000,0022.951,0
0300,5000,0023.034,0
0300,5000,0022.366,0
0300,5000,0024.291,0
0300,5000,0021.604,0
0300,5000,0022.550,0
0300,5000,0021.374,0
0300,5000,0022.368,0
0300,5000,0022.814,0
0300,5000,0021.615,0
0300,5000,0024.097,0
0300,5000,0021.762,0
0300,5000,0020.742,0
0300,5000,0021.329,0
0300,5000,0021.844,0
0300,5000,0023.733,0
0300,5000,0020.704,0
0300,5000,0024.027,0
0300,5000,0022.921,0
0300,5000,0024.557,0
0300,5000,0020.405,0
0400,5000,0030.433,0
0400,5000,0027.604,0
0400,5000,0029.109,0
0400,5000,0030.338,0
0400,5000,0029.503,0
0400,5000,0031.935,0
0400,5000,0031.659,0
0400,5000,0028.212,0
0400,5000,0030.180,0
0400,5000,0031.901,0
0400,5000,0028.675,0
0400,5000,0028.504,0
0400,5000,0030.742,0
0400,5000,0027.336,0
0400,5000,0031.064,0
0400,5000,0029.556,0
0400,5000,0029.405,0
0400,5000,0031.843,0
0400,5000,0028.651,0
0400,5000,0028.878,0
0400,5000,0034.117,0
0400,5000,0029.131,0
0400,5000,0033.254,0
0400,5000,0032.361,0
0400,5000,0029.016,0
0400,5000,0028.624,0
0400,5000,0029.058,0
0400,5000,0028.569,0
0400,5000,0028.416,0
0400,5000,0032.507,0
0500,5000,0038.588,0
0500,5000,0038.545,0
0500,5000,0038.044,0
0500,5000,0034.684,0
0500,5000,0038.662,0
0500,5000,0037.368,0
0500,5000,0036.615,0
0500,5000,0038.602,0
0500,5000,0035.521,0
0500,5000,0035.365,0
0500,5000,0037.630,0
0500,5000,0033.419,0
0500,5000,0041.650,0
0500,5000,0036.032,0
0500,5000,0036.611,0
0500,5000,0036.311,0
0500,5000,0039.621,0
0500,5000,0036.760,0
0500,5000,0037.028,0
0500,5000,0035.700,0
0500,5000,0038.392,0
0500,5000,0034.246,0
0500,5000,0034.921,0
0500,5000,0043.095,0
0500,5000,0039.669,0
0500,5000,0037.884,0
0500,5000,0035.045,0
0500,5000,0036.332,0
0500,5000,0035.810,0
0500,5000,0033.339,0
0600,5000,0056.622,0
0600,5000,0054.266,0
0600,5000,0047.001,0
0600,5000,0051.698,0
0600,5000,0043.728,0
0600,5000,0045.649,0
0600,5000,0040.893,0
0600,5000,0042.248,0
0600,5000,0042.150,0
0600,5000,0043.248,0
0600,5000,0042.714,0
0600,5000,0043.007,0
0600,5000,0045.895,0
0600,5000,0046.215,0
0600,5000,0045.354,0
0600,5000,0041.211,0
0600,5000,0045.210,0
0600,5000,0045.074,0
0600,5000,0043.961,0
0600,5000,0042.182,0
0600,5000,0046.572,0
0600,5000,0044.709,0
0600,5000,0042.710,0
0600,5000,0041.682,0
0600,5000,0042.395,0
0600,5000,0042.096,0
0600,5000,0043.954,0
0600,5000,0042.778,0
0600,5000,0045.786,0
0600,5000,0045.723,0
0800,5000,0056.839,0
0800,5000,0052.395,0
0800,5000,0060.629,0
0800,5000,0060.691,0
0800,5000,0055.344,0
0800,5000,0056.814,0
0800,5000,0060.056,0
0800,5000,0059.004,0
0800,5000,0061.688,0
0800,5000,0056.742,0
0800,5000,0056.610,0
0800,5000,0059.742,0
0800,5000,0064.936,0
0800,5000,0058.490,0
0800,5000,0059.307,0
0800,5000,0063.577,0
0800,5000,0063.647,0
0800,5000,0063.685,0
0800,5000,0058.422,0
0800,5000,0061.355,0
